Last Check: 2026-02-22 15:49:01
Found Alive: 2926
Status: Active (Mega Pulse)[2026-02-22 17:51:59] Found: 3563 | Skipped: 6013 | Cycle: Active
[2026-02-22 17:56:50] Found: 3683 | Skipped: 6043 | Cycle: Active
[2026-02-22 18:14:58] Found: 3694 | Skipped: 6037 | Cycle: Active
[2026-02-22 18:22:37] Found: 3695 | Skipped: 6025 | Cycle: Active
[2026-02-22 18:24:51] Найдено: 3695 | Отфильтровано (кэш): 6013
[2026-02-22 18:32:35] Найдено: 3700 | Отфильтровано (кэш): 5987
[2026-02-22 18:36:32] Найдено: 3696 | Отфильтровано (кэш): 5990
[2026-02-26 06:50:22] Alive: 442 | Dead: 0 | Cache_Hit: 2533 | DNS_Fail: 8 | Wrong_Geo: 2724
[2026-02-26 07:45:17] Alive: 442 | Dead: 0 | Cache_Hit: 2533 | DNS_Fail: 8 | Wrong_Geo: 2724
[2026-02-26 08:36:35] Alive: 442 | Dead: 0 | Cache_Hit: 2533 | DNS_Fail: 8 | Wrong_Geo: 2724
[2026-02-26 09:40:43] Alive: 442 | Dead: 0 | Cache_Hit: 2533 | DNS_Fail: 8 | Wrong_Geo: 2724
[2026-02-26 10:37:28] Alive: 443 | Dead: 0 | Cache_Hit: 2533 | DNS_Fail: 8 | Wrong_Geo: 2723
[2026-02-26 11:34:16] Alive: 443 | Dead: 0 | Cache_Hit: 2535 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-26 12:43:12] Alive: 443 | Dead: 0 | Cache_Hit: 2535 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-26 14:06:37] Alive: 460 | Dead: 10 | Cache_Hit: 2516 | DNS_Fail: 8 | Wrong_Geo: 2732
[2026-02-26 15:45:00] Alive: 460 | Dead: 0 | Cache_Hit: 2547 | DNS_Fail: 8 | Wrong_Geo: 2732
[2026-02-26 16:48:25] Alive: 436 | Dead: 1 | Cache_Hit: 2497 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 17:52:23] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 18:40:42] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 19:38:22] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 20:27:54] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 21:25:21] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 22:25:01] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-26 23:22:04] Alive: 435 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2696
[2026-02-27 01:15:43] Alive: 407 | Dead: 0 | Cache_Hit: 2464 | DNS_Fail: 8 | Wrong_Geo: 2671
[2026-02-27 04:05:55] Alive: 408 | Dead: 0 | Cache_Hit: 2468 | DNS_Fail: 8 | Wrong_Geo: 2631
[2026-02-27 05:45:07] Alive: 413 | Dead: 0 | Cache_Hit: 2473 | DNS_Fail: 9 | Wrong_Geo: 2635
[2026-02-27 06:41:37] Alive: 413 | Dead: 0 | Cache_Hit: 2478 | DNS_Fail: 8 | Wrong_Geo: 2636
[2026-02-27 07:40:18] Alive: 413 | Dead: 0 | Cache_Hit: 2478 | DNS_Fail: 8 | Wrong_Geo: 2636
[2026-02-27 08:32:05] Alive: 413 | Dead: 0 | Cache_Hit: 2478 | DNS_Fail: 8 | Wrong_Geo: 2636
[2026-02-27 09:33:06] Alive: 412 | Dead: 0 | Cache_Hit: 2472 | DNS_Fail: 8 | Wrong_Geo: 2626
[2026-02-27 10:29:15] Alive: 412 | Dead: 0 | Cache_Hit: 2476 | DNS_Fail: 8 | Wrong_Geo: 2626
[2026-02-27 11:26:32] Alive: 412 | Dead: 0 | Cache_Hit: 2476 | DNS_Fail: 9 | Wrong_Geo: 2625
[2026-02-27 12:38:31] Alive: 412 | Dead: 0 | Cache_Hit: 2476 | DNS_Fail: 11 | Wrong_Geo: 2623
[2026-02-27 13:54:19] Alive: 421 | Dead: 22 | Cache_Hit: 2457 | DNS_Fail: 11 | Wrong_Geo: 2631
[2026-02-27 14:34:17] Alive: 421 | Dead: 0 | Cache_Hit: 2495 | DNS_Fail: 11 | Wrong_Geo: 2631
[2026-02-27 15:31:36] Alive: 421 | Dead: 0 | Cache_Hit: 2495 | DNS_Fail: 11 | Wrong_Geo: 2631
[2026-02-27 16:31:16] Alive: 421 | Dead: 0 | Cache_Hit: 2495 | DNS_Fail: 11 | Wrong_Geo: 2631
[2026-02-27 17:28:03] Alive: 421 | Dead: 0 | Cache_Hit: 2495 | DNS_Fail: 11 | Wrong_Geo: 2631
[2026-02-27 18:30:24] Alive: 441 | Dead: 1 | Cache_Hit: 2487 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-27 19:27:49] Alive: 441 | Dead: 0 | Cache_Hit: 2520 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-27 20:19:56] Alive: 441 | Dead: 0 | Cache_Hit: 2520 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-27 21:21:31] Alive: 441 | Dead: 0 | Cache_Hit: 2520 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-27 22:15:26] Alive: 441 | Dead: 0 | Cache_Hit: 2520 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-27 23:16:48] Alive: 429 | Dead: 6 | Cache_Hit: 2493 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-28 01:10:17] Alive: 429 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 11 | Wrong_Geo: 2650
[2026-02-28 03:47:36] Alive: 416 | Dead: 0 | Cache_Hit: 2494 | DNS_Fail: 8 | Wrong_Geo: 2638
[2026-02-28 04:48:46] Alive: 416 | Dead: 0 | Cache_Hit: 2494 | DNS_Fail: 8 | Wrong_Geo: 2638
[2026-02-28 05:27:35] Alive: 416 | Dead: 0 | Cache_Hit: 2494 | DNS_Fail: 8 | Wrong_Geo: 2638
[2026-02-28 06:27:09] Alive: 416 | Dead: 0 | Cache_Hit: 2494 | DNS_Fail: 8 | Wrong_Geo: 2638
[2026-02-28 07:20:41] Alive: 416 | Dead: 0 | Cache_Hit: 2494 | DNS_Fail: 8 | Wrong_Geo: 2638
[2026-02-28 08:19:12] Alive: 416 | Dead: 0 | Cache_Hit: 2494 | DNS_Fail: 8 | Wrong_Geo: 2638
[2026-02-28 09:18:47] Alive: 428 | Dead: 0 | Cache_Hit: 2501 | DNS_Fail: 8 | Wrong_Geo: 2663
[2026-02-28 10:15:00] Alive: 428 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2663
[2026-02-28 11:12:51] Alive: 428 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2663
[2026-02-28 12:28:22] Alive: 428 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2663
[2026-02-28 13:31:28] Alive: 428 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2663
[2026-02-28 14:15:13] Alive: 410 | Dead: 4 | Cache_Hit: 2467 | DNS_Fail: 8 | Wrong_Geo: 2628
[2026-02-28 15:14:32] Alive: 410 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2628
[2026-02-28 16:17:14] Alive: 410 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2628
[2026-02-28 17:13:55] Alive: 410 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2628
[2026-02-28 18:21:44] Alive: 439 | Dead: 1 | Cache_Hit: 2470 | DNS_Fail: 8 | Wrong_Geo: 2619
[2026-02-28 19:15:02] Alive: 439 | Dead: 0 | Cache_Hit: 2508 | DNS_Fail: 8 | Wrong_Geo: 2619
